run_id,config_path,metrics_path,timestamp,loss_mean,loss_initial,loss_final,loss_drop,loss_drop_per_second,runtime_seconds,steps_per_second,images_per_second,runtime_per_epoch,loss_threshold,loss_threshold_steps,loss_threshold_time,spectral_calls,spectral_time_seconds,spectral_cpu_time_seconds,spectral_cuda_time_seconds,sampling_images_dir,eval_mse,eval_mae,eval_psnr,eval_fid,display_name
piecewise_1024x1024_tiny,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_tiny/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_tiny/metrics/piecewise_1024x1024_tiny.json,2025-10-26T15:49:01.678471+00:00,0.9525650358200072,1.014254450798035,0.887837827205658,0.1264166235923767,0.0363994161140827,3.473039875039831,14.396609828565982,460.6915145141114,3.473039875039831,,,,,,,,,,,,,piecewise_1024x1024_tiny
piecewise_1024x1024_tiny_learnable,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_tiny_learnable/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_tiny_learnable/metrics/piecewise_1024x1024_tiny_learnable.json,2025-10-26T15:49:07.177746+00:00,0.9525650358200072,1.014254450798035,0.887837827205658,0.1264166235923767,0.0359576547890758,3.5157082499936223,14.221885448000611,455.1003343360196,3.5157082499936223,,,,,,,,,,,,,piecewise_1024x1024_tiny_learnable
piecewise_1024x1024_spectral,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_spectral/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_spectral/metrics/piecewise_1024x1024_spectral.json,2025-10-26T15:49:47.243828+00:00,1.1459538054466247,3.151937484741211,0.5844905972480774,2.5674468874931335,0.0671280332090474,38.2470149169676,1.3072915653299364,41.833330090557965,38.2470149169676,,,,,,,,,,,,,piecewise_1024x1024_spectral
piecewise_1024x1024_spectral_deep,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_spectral_deep/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_spectral_deep/metrics/piecewise_1024x1024_spectral_deep.json,2025-10-26T15:51:24.840416+00:00,0.8749762809276581,2.3017637729644775,0.5285515785217285,1.773212194442749,0.0185063633934008,95.8163501250092,0.5218316073902445,16.698611436487823,95.8163501250092,,,,,,,,,,,,,piecewise_1024x1024_spectral_deep
piecewise_1024x1024_unet_spectral,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_unet_spectral/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/piecewise_1024x1024_unet_spectral/metrics/piecewise_1024x1024_unet_spectral.json,2025-10-26T15:52:05.166549+00:00,1.1459538054466247,3.151937484741211,0.5844905972480774,2.5674468874931335,0.0668263865168193,38.41965758311562,1.3014171167931912,41.64534773738212,38.41965758311562,,,,,,,,,,,,,piecewise_1024x1024_unet_spectral
texture_1024x1024_tiny,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_tiny/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_tiny/metrics/texture_1024x1024_tiny.json,2025-10-26T15:52:10.003694+00:00,0.9472229313850404,1.0116904973983765,0.8786060214042664,0.1330844759941101,0.0413922017117772,3.2152065000263974,15.551100683452056,497.6352218704658,3.2152065000263974,,,,,,,,,,,,,texture_1024x1024_tiny
texture_1024x1024_tiny_learnable,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_tiny_learnable/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_tiny_learnable/metrics/texture_1024x1024_tiny_learnable.json,2025-10-26T15:52:14.850449+00:00,0.9472229313850404,1.0116904973983765,0.8786060214042664,0.1330844759941101,0.0412834474731373,3.223676416091621,15.510241583309996,496.3277306659199,3.223676416091621,,,,,,,,,,,,,texture_1024x1024_tiny_learnable
texture_1024x1024_spectral,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_spectral/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_spectral/metrics/texture_1024x1024_spectral.json,2025-10-26T15:52:54.509078+00:00,1.0544513952732086,3.311487197875977,0.4710662364959717,2.840420961380005,0.0746801142579847,38.03450208401773,1.3145958869015988,42.06706838085116,38.03450208401773,,,,,,,,,,,,,texture_1024x1024_spectral
texture_1024x1024_spectral_deep,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_spectral_deep/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_spectral_deep/metrics/texture_1024x1024_spectral_deep.json,2025-10-26T15:54:31.933465+00:00,0.7913787496089936,2.301105499267578,0.4412027597427368,1.8599027395248413,0.019421122186479,95.76700674998574,0.52210047799168,16.70721529573376,95.76700674998574,,,,,,,,,,,,,texture_1024x1024_spectral_deep
texture_1024x1024_unet_spectral,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_unet_spectral/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_1024x_20251026_084856/synthetic/runs/texture_1024x1024_unet_spectral/metrics/texture_1024x1024_unet_spectral.json,2025-10-26T15:55:12.014854+00:00,1.0544513952732086,3.311487197875977,0.4710662364959717,2.840420961380005,0.0739245933075912,38.42322066705674,1.301296433041308,41.641485857321854,38.42322066705674,,,,,,,,,,,,,texture_1024x1024_unet_spectral
