run_id,config_path,metrics_path,timestamp,loss_mean,loss_initial,loss_final,loss_drop,loss_drop_per_second,runtime_seconds,runtime,steps_per_second,images_per_second,runtime_per_epoch,loss_threshold,loss_threshold_steps,loss_threshold_time,spectral_calls,spectral_time_seconds,spectral_cpu_time_seconds,spectral_cuda_time_seconds,sampling_images_dir,eval_mse,eval_mae,eval_psnr,high_freq_psnr,eval_fid,display_name
piecewise_32x32_tiny,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_tiny/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_tiny/metrics/piecewise_32x32_tiny.json,2025-10-31T00:01:37.161678+00:00,0.9525650358200072,1.014254450798035,0.887837827205658,0.1264166235923767,0.0336103931800269,3.7612360829953104,3.7612360829953104,13.29350216171005,425.3920691747216,3.7612360829953104,,,,,,,,,,,,,,piecewise_32x32_tiny
piecewise_32x32_tiny_learnable,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_tiny_learnable/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_tiny_learnable/metrics/piecewise_32x32_tiny_learnable.json,2025-10-31T00:01:42.736504+00:00,0.9525650358200072,1.014254450798035,0.887837827205658,0.1264166235923767,0.0338345940160776,3.736312708002515,3.736312708002515,13.382177539077208,428.22968125047066,3.736312708002515,,,,,,,,,,,,,,piecewise_32x32_tiny_learnable
piecewise_32x32_spectral,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_spectral/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_spectral/metrics/piecewise_32x32_spectral.json,2025-10-31T00:02:44.345985+00:00,1.3694862031936643,2.8391008377075195,1.074273705482483,1.7648271322250366,0.029584952691042,59.65286308398936,59.65286308398936,0.8381827361681127,26.82184755737961,59.65286308398936,,,,,,,,,,,,,,piecewise_32x32_spectral
piecewise_32x32_spectral_deep,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_spectral_deep/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_spectral_deep/metrics/piecewise_32x32_spectral_deep.json,2025-10-31T00:07:11.573079+00:00,1.1085249590873718,2.2456061840057373,1.0054548978805542,1.240151286125183,0.0108151646295856,114.66781400004402,114.66781400004402,0.4360421486711241,13.953348757475972,114.66781400004402,,,,,,,,,,,,,,piecewise_32x32_spectral_deep
piecewise_32x32_unet_spectral,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_unet_spectral/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/piecewise_32x32_unet_spectral/metrics/piecewise_32x32_unet_spectral.json,2025-10-31T00:08:20.536272+00:00,1.3694862031936643,2.8391008377075195,1.074273705482483,1.7648271322250366,0.0300122436389717,58.8035720839398,58.8035720839398,0.8502884812614268,27.209231400365656,58.8035720839398,,,,,,,,,,,,,,piecewise_32x32_unet_spectral
texture_32x32_tiny,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_tiny/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_tiny/metrics/texture_32x32_tiny.json,2025-10-31T00:08:32.220441+00:00,0.9472229313850404,1.0116904973983765,0.8786060214042664,0.1330844759941101,0.0351963994432742,3.7811957501107822,3.7811957501107822,13.223330212019594,423.146566784627,3.7811957501107822,,,,,,,,,,,,,,texture_32x32_tiny
texture_32x32_tiny_learnable,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_tiny_learnable/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_tiny_learnable/metrics/texture_32x32_tiny_learnable.json,2025-10-31T00:08:37.811365+00:00,0.9472229313850404,1.0116904973983765,0.8786060214042664,0.1330844759941101,0.035601242575872,3.7381975000025705,3.7381975000025705,13.37543027086333,428.01376866762655,3.7381975000025705,,,,,,,,,,,,,,texture_32x32_tiny_learnable
texture_32x32_spectral,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_spectral/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_spectral/metrics/texture_32x32_spectral.json,2025-10-31T00:17:41.698714+00:00,1.370200548171997,2.8296096324920654,1.0733789205551147,1.756230711936951,0.0289900306615624,60.58050549996551,60.58050549996551,0.8253480156257275,26.41113650002328,60.58050549996551,,,,,,,,,,,,,,texture_32x32_spectral
texture_32x32_spectral_deep,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_spectral_deep/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_spectral_deep/metrics/texture_32x32_spectral_deep.json,2025-10-31T00:19:47.033157+00:00,1.1085174202919006,2.245671033859253,1.0054583549499512,1.2402126789093018,0.0106067592315915,116.92663629201706,116.92663629201706,0.4276185613954384,13.683793964654033,116.92663629201706,,,,,,,,,,,,,,texture_32x32_spectral_deep
texture_32x32_unet_spectral,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_unet_spectral/config.yaml,/Users/benschneider/gitrep/spectral-diffusion/results/full_report_32x32_20251030_170131/synthetic/runs/texture_32x32_unet_spectral/metrics/texture_32x32_unet_spectral.json,2025-10-31T00:20:55.938283+00:00,1.370200548171997,2.8296096324920654,1.0733789205551147,1.756230711936951,0.0297192085554151,59.09412791603245,59.09412791603245,0.846107756612393,27.075448211596576,59.09412791603245,,,,,,,,,,,,,,texture_32x32_unet_spectral
